target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
RS012687-PA	1.38515048397586e-172	1.7501376365035e-168	-3.88605954770884	0.138759639335406	9.66784281610986	4.16586284455051	0.000217603850443367	0.0575451086750322	0.0539424274750746	0.0575451086750322
RS000936-PA	7.30805851161156e-135	4.6168659647106e-131	2.53926193557974	0.102740126967484	6.58325267607002	1.78577800979286	0.00310098487164114	0.0285656161962431	0.0201394443192695	0.0285656161962431
RS011205-PA	1.13645039947395e-98	4.78635026578446e-95	-3.31313891292881	0.157146535129355	8.92211793598576	3.18512806069527	0.000377881680264623	0.0737072188292202	0.039251042220885	0.0737072188292202
RS009124-PA	1.04262906165895e-85	3.29340454851522e-82	-2.20508366142568	0.112389333144632	4.64392297596358	1.34851898478446	0.0161379012498704	0.0109169733678192	0.0217561853642147	0.0217561853642147
RS000804-PA	1.29241887640446e-83	3.26594250067408e-80	-2.0449300707854	0.105553103465414	4.82084956404806	1.16404053282134	0.0129767704225344	0.015331955858199	0.020447602531007	0.020447602531007
RS004136-PA	6.9658476747319e-83	1.46689142283729e-79	-3.54645684103341	0.183882303605669	7.69724715624394	3.51697614803894	0.00144297545791701	0.0999951292800651	0.0256883204488978	0.0999951292800651
RS000363-PA	2.68360188181601e-82	4.8439013966779e-79	1.97308343515631	0.10267551772059	4.98325327197074	1.08815831515324	0.0111027246652428	0.0205240611523306	0.0196203991694166	0.0205240611523306
RS003709-PA	1.48712294577718e-80	2.34872480248684e-77	4.56488963522293	0.24016648474884	4.7094901966683	5.83094316076183	0.0582444208566926	0.114795400333151	0.0212253760644566	0.114795400333151
RS014106-PA	1.09317409971339e-73	1.53469497220874e-70	-1.66428112843918	0.0916513097036128	6.46044071467168	0.777395293027671	0.00210466120566556	0.0230952265054971	0.0197985199661484	0.0230952265054971
RS000957-PA	8.77712876050747e-64	1.10899021889012e-60	-2.35957455804545	0.139946491691732	6.56289419826553	1.57185982886146	0.00231117318388837	0.0564438884265835	0.0200796886170229	0.0564438884265835
RS004288-PA	4.07691701753958e-62	4.68289513787388e-59	1.76235312561002	0.105960625857972	8.49741578911513	0.875159596340737	0.000324828434795976	0.0301420344233184	0.0333581342618431	0.0333581342618431
RS013635-PA	2.47673755665705e-61	2.60779825236348e-58	6.25397481851693	0.378484857045461	3.10018472713241	11.0600050911165	0.0974549195006227	0.332297441537546	0.0496892850778798	0.332297441537546
RS002051-PA	4.3980856602334e-56	4.27460094746531e-53	1.45147705478229	0.0919927835332863	7.32438333855495	0.595350815728664	0.000881444969168632	0.0245065716974376	0.0232813871410557	0.0245065716974376
RS000959-PA	1.70139898447916e-51	1.53551258349244e-48	-2.37534787074979	0.157341775947113	5.66514540164185	1.60032986364672	0.00631992178003853	0.0679493815945357	0.0185422215976833	0.0679493815945357
RS002240-PA	4.96484757542459e-51	4.18205660769931e-48	1.52717985766763	0.101636196131326	4.82701821061024	0.661874567698531	0.0105802031215146	0.0194185203363678	0.0204095459706217	0.0204095459706217
RS100018-PA	2.61776400806606e-50	2.06721551511967e-47	-3.4997466324307	0.234640100102274	6.80993865897473	3.47791023089228	0.00414110751341565	0.1610268222146	0.0208949680074992	0.1610268222146
RS011689-PA	8.60060500116261e-50	6.3922731876288e-47	6.592473797682	0.444363317881848	3.73344053156777	12.3460165760483	0.126148367319832	0.46622790751706	0.0343064685974583	0.46622790751706
RS007480-PA	2.15445033312737e-47	1.51230444217024e-44	5.10663229559587	0.353145238505871	2.31026692226717	7.51331854117521	0.0817685862200157	0.292366092218091	0.0895375924129464	0.292366092218091
RS011651-PA	7.64085561990573e-43	5.08116898723731e-40	1.63120603389188	0.118887190286046	7.91953909875955	0.760533004657959	0.000519138186707619	0.0418833538556236	0.027442546955185	0.0418833538556236
RS007059-PA	2.48344877044781e-42	1.56891876073041e-39	-1.79431285485658	0.131597106737878	5.05111138336922	0.920816220872335	0.00980985581479901	0.042143539690542	0.019362970714344	0.042143539690542
RS012781-PA	3.50608521699254e-40	2.10949460555718e-37	2.05823095286532	0.155116718612174	4.58258240643968	1.22709197148796	0.0177330940753528	0.0544504951036719	0.0222947038443931	0.0544504951036719
RS015368-PA	1.96301052589603e-39	1.12739263612256e-36	-1.95971811680031	0.149150533979282	7.67336613346329	1.1037868008932	0.000683237625079751	0.0660544077338353	0.0255148345777134	0.0660544077338353
RS004890-PA	8.26594234918083e-39	4.5408774600826e-36	2.44450517945673	0.18760661147659	4.49120115469087	1.72187026351785	0.0255245012258436	0.0800642207833414	0.0231595950854479	0.0800642207833414
RS012684-PA	5.06870736935528e-38	2.66846323382516e-35	-3.62812931996157	0.281450133163873	5.5269433881061	3.79450695811879	0.0249710718940382	0.212671460479847	0.0185016537474618	0.212671460479847
RS006393-PA	6.65653114255967e-38	3.36421083944966e-35	2.19249812549939	0.170359783853958	4.21166656396653	1.38869202758443	0.025533830300185	0.0615335375641173	0.0265069304530179	0.0615335375641173
RS013244-PA	1.80212187145782e-35	8.75761917148827e-33	1.60340233919786	0.12899722099755	5.25639429848443	0.742117687334779	0.00765625814370964	0.0422645909315626	0.0188119535269939	0.0422645909315626
RS100015-PA	3.16147605735388e-35	1.47945370313579e-32	5.81448375040986	0.469488136846047	3.927828858123	9.7617878386912	0.178286101318046	0.482971230599472	0.0308380767064211	0.482971230599472
RS014485-PA	3.36990391441907e-35	1.52066914138161e-32	1.57057266497407	0.126867735856972	5.57926601429874	0.714846790076643	0.00617062937754445	0.0421156378268791	0.0185041949331031	0.0421156378268791
RS004547-PA	1.31900376621173e-34	5.74676296071903e-32	4.74157025686552	0.386448584323446	2.47029236823217	6.50825943089611	0.160883241349883	0.287144283626903	0.078220152286057	0.287144283626903
RS006137-PA	1.5967112146793e-33	6.72481539915764e-31	-1.0580784003307	0.0876907525647779	7.09447672240694	0.321892450040998	0.000976900587951916	0.0174430581590368	0.0220921036681794	0.0220921036681794
RS006136-PA	5.78062660937179e-33	2.35607152288428e-30	-1.19325944587188	0.0997737911081951	6.05193469912854	0.412828971559268	0.00308056197300516	0.0267838662033001	0.0189874089403012	0.0267838662033001
RS008823-PA	1.52924232006075e-32	6.03811772311487e-30	2.48783670739598	0.209438713523999	3.75420759387726	1.79781409025536	0.0624634189826278	0.0691303051851354	0.0339083082980991	0.0691303051851354
RS012944-PA	1.89285221154996e-31	7.24732960391931e-29	1.22579854991748	0.10507093508065	5.02326520651032	0.441666725385343	0.0094315883363597	0.0236881158598067	0.0194632378795443	0.0236881158598067
RS100017-PA	6.86241209294981e-31	2.55019343513002e-28	4.21416531878164	0.364664787087062	1.89950349621053	5.30259962297825	0.097919932065279	0.301021288758477	0.129692489345518	0.301021288758477
RS002258-PA	7.80538385621353e-31	2.81774357209309e-28	1.00785733164662	0.087296605448858	5.50723698007344	0.286383327223578	0.00435675439624288	0.00665812116477684	0.0185053375724379	0.0185053375724379
RS015197-PA	1.09550274876013e-30	3.84491034182896e-28	-1.05795230913353	0.0918678444776243	7.55598666483038	0.32907049388696	0.000617150115097465	0.0240437241380084	0.0247019524317974	0.0247019524317974
RS013560-PA	3.95160668119806e-30	1.34942028153885e-27	0.977720385720548	0.0857279813261262	6.74035278794279	0.271921152388462	0.00140275119961238	0.0117737738190615	0.0206451091471455	0.0206451091471455
RS013565-PA	6.92618527104207e-30	2.30295660262149e-27	-1.18455229336288	0.104310916581964	6.07108258094667	0.420698661671481	0.00268832937074509	0.0299539725837634	0.0190147558180343	0.0299539725837634
RS005739-PA	8.85983069612558e-30	2.87035797039863e-27	-1.07823790502698	0.0951293607032982	7.82390880724868	0.338144648318523	0.000492516301294117	0.0202307307372408	0.0266562695021605	0.0266562695021605
RS100026-PA	4.30842683986139e-29	1.36092432804122e-26	-4.12071047706595	0.36808111971744	3.50886705933764	5.07926815918421	0.192405887357347	0.214045244719985	0.0390490866932194	0.214045244719985
RS006394-PA	4.65239286378979e-28	1.433731313024e-25	-0.976136942816269	0.0888832233766325	5.39191996503778	0.280810845087661	0.00511499073852038	0.0130173879136858	0.0185856914549407	0.0185856914549407
RS001803-PA	5.21507298389314e-28	1.56886778932119e-25	-0.929976594516937	0.0847596646733021	6.35838943737166	0.255337372109359	0.00200238523602318	0.0185708966752596	0.0195502170305687	0.0195502170305687
RS012179-PA	9.7730942676607e-28	2.87169874585797e-25	-2.94788108103724	0.270076178957475	6.08664399056061	2.55142221432351	0.00576576045357997	0.21305766686723	0.0190377354615907	0.21305766686723
RS012763-PA	3.05391416992271e-27	8.76959216749398e-25	-1.04913667369389	0.0970436275072029	5.11963365067553	0.325675011563557	0.00687073534438869	0.0213816615748815	0.0191450578140698	0.0213816615748815
RS000364-PA	2.34199589459957e-25	6.57580402850345e-23	1.91796586719212	0.184323580127089	4.17924857903098	1.09674510204455	0.026769594241787	0.0751559523308148	0.02697450235735	0.0751559523308148
RS003684-PA	2.90614408737263e-25	7.98241968346808e-23	-0.902803502200005	0.0869346381411137	5.53180119141037	0.241445943323107	0.00417174302857197	0.01745355322388	0.0185011508976072	0.0185011508976072
RS006262-PA	3.19429775135067e-25	8.40832335173244e-23	1.38435344057708	0.133421003776326	5.84838138607789	0.566869471353534	0.00421060055596909	0.0491928921900782	0.0187226436528656	0.0491928921900782
RS007008-PA	3.1427011892965e-25	8.40832335173244e-23	-3.51550632232582	0.338766154091886	1.06460598060297	3.4371414166809	0.0513978034390797	0.0298685770018035	0.292889718035543	0.292889718035543
RS003551-PA	3.37381976836872e-25	8.69963525986506e-23	1.32356944023064	0.127627022991129	4.52614258677566	0.538578932534953	0.0189413526744784	0.029924618318256	0.0228210456498837	0.029924618318256
RS008098-PA	5.24603031435105e-25	1.32567186043651e-22	-0.961098740044307	0.0930545174947294	5.61910443205548	0.277216529944653	0.00424051235725024	0.0217369173212804	0.0185170464981813	0.0217369173212804
RS010590-PA	5.40325479562153e-25	1.33862988907212e-22	1.50123785051384	0.14539119870535	6.66349639056004	0.66682764250231	0.00162230815925908	0.0617934938236762	0.0203877700343285	0.0617934938236762
RS001366-PA	8.76351243079013e-25	2.12936499159679e-22	0.965797635018098	0.093958356746544	5.08987390116498	0.27161785462299	0.00724960279660449	0.0126604535035383	0.019234915610928	0.019234915610928
RS011174-PA	7.66481111443104e-24	1.82726204586483e-21	0.872328691431335	0.0866451280406014	5.69899812278477	0.227436572482111	0.00395518581709251	0.0175614560629207	0.0185669488224241	0.0185669488224241
RS006264-PA	1.10230708870787e-23	2.57919445663405e-21	1.19856954688212	0.119474321155723	7.41021843720568	0.427181261993045	0.000883927899709223	0.0419384123471531	0.0237806071810817	0.0419384123471531
RS002223-PA	1.92577732272939e-23	4.42403572230652e-21	-0.969746817443715	0.0972001874649673	6.09242028606928	0.279917234957661	0.00264752396581093	0.0256961053638634	0.0190464380111425	0.0256961053638634
RS009745-PA	1.96104747767977e-23	4.42461337151498e-21	-0.953754901314134	0.0956145424354965	7.79991815586575	0.271225920891397	0.000462414726612325	0.0269640074488357	0.0264666306096873	0.0269640074488357
RS001586-PA	6.27676392851053e-23	1.3913493374865e-20	1.44718974321923	0.146791012369587	5.81723135783537	0.62728752072858	0.00507644750281379	0.0595663564346512	0.0186853718986866	0.0595663564346512
RS011411-PA	1.21186387088215e-22	2.63998276010275e-20	1.43027827342122	0.146057627248775	4.52647544060215	0.610838044150089	0.0146623072724458	0.0493361841601804	0.0228178643175047	0.0493361841601804
RS010570-PA	2.49822641304694e-22	5.35001537777086e-20	1.08999307962685	0.112148844500335	6.92735221351795	0.357801147465127	0.00109401262560903	0.036638077342672	0.0213540112826546	0.036638077342672
RS011728-PA	2.60515566798882e-22	5.48602364417313e-20	1.40090808821862	0.144202071689878	4.52178875515746	0.588498572832152	0.0144590277711577	0.0479236846678001	0.0228627373029388	0.0479236846678001
RS006304-PA	6.09886104756469e-22	1.26326408747508e-19	-0.907433171054264	0.0942508031577662	6.26502848507453	0.248845547559682	0.00201640049004429	0.0246332411976077	0.0193501244768592	0.0246332411976077
RS007457-PA	1.38155672487656e-21	2.81547890626053e-19	0.880665042289738	0.092279508720772	7.15835954365151	0.234382414178503	0.000904931609828067	0.0246415915794131	0.0224017200902558	0.0246415915794131
RS001352-PA	2.06392111747376e-21	4.13930846337793e-19	0.806810463696928	0.084911775260058	5.91189234844491	0.186196426749007	0.00282691390150481	0.00659218198573673	0.018803114831939	0.018803114831939
RS007594-PA	2.25726169446982e-21	4.45632836087909e-19	1.41428449128771	0.148990889760011	7.78328217771196	0.600444030258055	0.000589567709556557	0.0660052879848825	0.0263368816008817	0.0660052879848825
RS000846-PA	2.64424862550906e-21	5.0621335429253e-19	-3.74935589860612	0.395672042867146	8.10362171830175	4.28236186335092	0.00118332492716963	0.468485771592813	0.0290997907180552	0.468485771592813
