target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
Znev_00680	2.77462728835377e-21	3.17972287245342e-17	2.80479068459672	0.296148508201123	3.47714614196605	2.38013397102181	0.0710775208763481	0.148182326398028	0.0835941384602774	0.148182326398028
Znev_01091	1.12764680649063e-18	6.46141620119132e-15	1.34233421840028	0.152163269051652	7.0233164015064	0.528200029487025	0.00119675948761982	0.0299466630951945	0.0566873916335936	0.0566873916335936
Znev_10997	1.45218576885391e-16	5.54734963702194e-13	1.88080007193123	0.227689498780748	8.13295630326015	1.09781915928243	0.000444402075602169	0.129161867561969	0.0841186219401904	0.129161867561969
Znev_12055	8.63958284728884e-15	2.47524048574825e-11	-1.09658534436927	0.141352098116559	4.76394586929235	0.368697612647932	0.0104784720017687	0.0285252742629489	0.0394725671031149	0.0394725671031149
Znev_00679	5.47201610802625e-13	1.07101425999781e-09	3.06413423628885	0.424805391574329	4.53049173775691	2.93963133221309	0.407246017998199	-0.0341978373826834	0.0439030337783483	0.0439030337783483
Znev_13276	5.60740450260632e-13	1.07101425999781e-09	-1.11915203392798	0.155228590402743	4.46972775214215	0.381256613823015	0.0149197525904459	0.0225872895088429	0.0453200356056105	0.0453200356056105
Znev_18808	4.19939773580328e-11	6.87501400747223e-08	-0.843350882079144	0.127841140355911	5.14896079858652	0.231277033909476	0.00652651636584551	0.0313974248124175	0.0343318765529036	0.0343318765529036
Znev_08214	1.51586601602626e-10	2.17147806795761e-07	-0.880286120641198	0.137463735635688	6.44104738582675	0.242503794426137	0.00169528979176222	0.0289640870021642	0.0455454067455339	0.0455454067455339
Znev_04078	3.64232038522416e-10	4.62868366459535e-07	1.1862039753045	0.189228500566747	7.77012734992411	0.47042757623392	0.000496501285246065	0.0890220622816024	0.0741503164863305	0.0890220622816024
Znev_13044	4.03899098132229e-10	4.62868366459535e-07	3.36858057975279	0.538756235880407	7.98188056152837	3.79705593774662	0.00172127326732626	0.723924430982735	0.0798403160035906	0.723924430982735
Znev_07069	6.91442654209632e-10	6.60327734770198e-07	-0.83879859837453	0.135991240344637	4.89100866798142	0.229532850646914	0.00885836291016373	0.0294963788691529	0.037375680716018	0.037375680716018
Znev_17320	6.76411282785568e-10	6.60327734770198e-07	1.43917413514228	0.233196460114525	3.37977353416964	0.643599273114377	0.0470640333644156	0.0297282141197165	0.088887439160448	0.088887439160448
Znev_05174	8.51244243691506e-10	7.50404540977281e-07	0.78191023311163	0.127449382064893	5.94842577417112	0.201607548073012	0.00299351492660197	0.0327575977040738	0.037614847545206	0.037614847545206
Znev_17978	1.18457249241541e-09	9.69657197362898e-07	-0.815615040609071	0.134096084166438	4.90149031900745	0.208155625687528	0.00774688596642985	0.0185444759108715	0.0372075135055009	0.0372075135055009
Znev_02563	1.31011722051082e-09	1.00092955647027e-06	-0.952352353657678	0.156994494059872	4.37131630484126	0.295440986603808	0.0138237890404418	0.0351176316646808	0.0477943888723465	0.0477943888723465
Znev_00043	1.87586316067135e-09	1.34358698883085e-06	-0.941595838742014	0.156718276896834	5.08208098139876	0.300857686123439	0.00649613039912163	0.0549054153846604	0.0348276674526515	0.0549054153846604
