target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
GLCN01012203.1	1.09240649554083e-49	1.4100783044441e-45	-2.50503417137208	0.169033852144229	8.03526709775882	1.78671057284598	0.000525293992840577	0.142336921860744	0.136947383019509	0.142336921860744
GLCN01008541.1	1.32672400290317e-48	8.56267671473707e-45	-3.60631251827227	0.246147229487553	10.2202874513398	3.70949532472801	0.000125049805687007	0.302817243116304	0.28840396439597	0.302817243116304
GLCN01009493.1	4.78052700798602e-36	2.05690142063612e-32	-2.59953134415786	0.207375519552728	5.38469945437939	1.97372301684991	0.011488364413762	0.194785039689157	0.203534666135058	0.203534666135058
GLCN01000637.1	4.07587976972647e-31	1.05222912135259e-27	-2.22455594781519	0.191756564987665	5.60315692162964	1.46176460853605	0.0055521835573765	0.162796801852916	0.178300717521967	0.178300717521967
GLCN01015317.1	3.70691570211214e-31	1.05222912135259e-27	-1.90463330275039	0.164064463142431	6.24607575922508	1.05391582395917	0.00303386369846	0.101758389940153	0.131551876632611	0.131551876632611
GLCN01004726.1	5.47067925344512e-29	1.17692546339116e-25	-2.10179909911123	0.188098497205836	8.91685639151874	1.31697730038821	0.000753666318222517	0.162289191584678	0.176151556937248	0.176151556937248
GLCN01002047.1	1.31434095452256e-27	2.4236447201396e-24	-2.51751843363805	0.231218632464262	6.75426158285488	1.92110949254815	0.00209359284881937	0.265216687144397	0.117053638332775	0.265216687144397
GLCN01005142.1	1.60834513217107e-27	2.59506487075802e-24	-1.83895140899414	0.169182368377258	8.20346619504538	1.02229445624447	0.000365711788327855	0.139350024069297	0.142747657060364	0.142747657060364
GLCN01006583.1	2.67442671126096e-25	3.83572222099516e-22	-2.24658930492029	0.216168276587186	9.69768118163165	1.50695958015776	0.000101411963447106	0.18858828237467	0.233542207049923	0.233542207049923
GLCN01016185.1	6.72450654711139e-25	8.67999305101138e-22	-2.48259173653289	0.240923221518907	9.13477997263134	1.89685623850218	0.000164842243228583	0.290055151092012	0.189670660815554	0.290055151092012
GLCN01006658.1	1.40311711604591e-24	1.64649415762914e-21	-1.92863044702215	0.18846191909965	8.93835617483539	1.07070231790859	0.000180657394738351	0.09677862229187	0.177408817358877	0.177408817358877
GLCN01006373.1	2.17561009260376e-24	2.34023125627744e-21	-1.9177464934976	0.188180782256794	7.40077542655975	1.1355704568201	0.00101620016623807	0.176043833887656	0.120964545679041	0.176043833887656
GLCN01013655.1	9.50083905800909e-24	9.43360235082933e-21	-1.97669962534013	0.196751399183251	7.594404101808	1.21161616954474	0.000736233558294449	0.192819331844541	0.1249168344235	0.192819331844541
GLCN01002164.1	1.15057778333747e-23	1.06083271623715e-20	-2.52983558823013	0.252282350513714	8.83004244756348	1.98571132166546	0.000272471532146275	0.317959450371475	0.171237638952031	0.317959450371475
GLCN01003543.1	1.50233824924818e-23	1.2928121414197e-20	-2.40051343506716	0.240017365250122	7.6006430890472	1.78931968240182	0.000908882169653645	0.287132795938399	0.125057130652548	0.287132795938399
GLCN01006005.1	5.2175459687428e-23	4.20925521028325e-20	-1.79046977189478	0.181269570351109	6.66077473744279	0.999273113816817	0.00188350937589814	0.16240977630048	0.11841018565829	0.16240977630048
GLCN01003730.1	1.63098728746882e-22	1.23839905333221e-19	-1.57836641368823	0.161676603295456	6.52754275984626	0.779407465477857	0.0016760112740161	0.129020608991766	0.121373183883682	0.129020608991766
GLCN01018804.1	2.24471965865482e-22	1.60971340855091e-19	-2.46473456730318	0.25331147812775	9.2969195977956	1.90260978325842	0.000199087701120866	0.320634437055208	0.200907543207621	0.320634437055208
